# key|parent_issue|title|abstract|current_behavior|expected_behavior|acceptance|dependencies|scope|kind
M0-01|2|[M0-01 案例身份] 固定 Golden Case 的唯一标识与版本|让所有测试、渲染和验收引用同一份可追踪的 Golden Case。|仓库已有 Flovvas fixture，但没有独立的案例身份、版本与变更记录约束。|任意工具都能通过稳定 ID 和版本定位同一案例，并知道结果对应哪个 revision。|唯一案例 ID 和版本字段可校验；fixture revision 变更可追踪；引用案例的测试不依赖文件名猜测。|无|examples/flovvas-massing.diagram.json; flovvas-massing-flowchart-case.md|contract
M0-02|2|[M0-02 覆盖清单] 固定 Golden Case 的对象与关系覆盖范围|把 Golden Case 要验证的节点、关系、分组和回路数量变成可检查的覆盖清单。|fixture 已包含目标对象，但覆盖要求仍散落在文档和人工记忆中。|一次检查即可知道 7 个主阶段、替代路径、外部输入、Phase Zone 和复利回路是否完整。|覆盖清单可机械检查；对象数量和关系类型与语义文档一致；缺项会指出具体类别。|M0-01|examples/flovvas-massing.diagram.json; flovvas-massing-flowchart-case.md|contract
M0-03|2|[M0-03 验收证据] 定义结构、布局、视觉和 PNG 的可检查证据|统一“完成 Golden Case”需要提交什么证据，避免只凭一句“看起来可以”。|已有实施计划和视觉描述，但没有统一的证据格式和作者结论记录。|每次验收都能分别记录结构校验、布局约束、视觉辨认、导出结果和作者判断。|四类证据字段固定；每条证据关联 Artifact revision；作者结论只能是接受、继续修正或改变策略之一。|M0-01,M0-02|AI Native 3D Diagram Workspace MVP 实施计划文档.md; diagrams/loom-mvp-module-map.html|test
M1-01|3|[M1-01 文件信封] 定义 Diagram 文件的版本与根结构|建立所有 Diagram 文件共享的最小根结构，让读取者先知道“这是什么版本的什么文件”。|Schema 已存在根字段，但没有围绕文件信封的独立契约测试和版本拒绝行为。|文件能够声明 format、schemaVersion、稳定 ID、metadata，并在版本不兼容时停止解析。|合法信封可校验；缺失或错误 format/schemaVersion 被拒绝；未知未来版本不会静默降级。|M0-01|contracts/diagram.schema.json|contract
M1-02|3|[M1-02 语义图] 定义 Node、Edge、Group 的引用模型|建立 Diagram 的统一语义图抽象，使 Codex、Layout 和 Renderer 使用同一套对象 ID。|fixture 有 Node、Edge、Group，但引用规则和唯一性只在整体 Schema 中间接体现。|Node、Edge、Group 拥有稳定 ID，Edge 端点和 Group children 可被解析并保持类型开放。|重复 ID、悬空端点和非法 group child 可定位失败；开放 type 不被固定枚举限制；边关系不依赖颜色推断。|M1-01|contracts/diagram.schema.json; examples/flovvas-massing.diagram.json|contract
M1-03|3|[M1-03 构图空间] 定义单位、画布、页面、安全区和默认视图|建立所有布局、Renderer 和导出共同使用的空间坐标边界。|fixture 已记录 mm、双 A4、gutter 和等轴视图，但没有独立的空间边界检查。|同一个对象位置可以在 Diagram、页面、视图和导出之间被解释，不因 Renderer 改变单位含义。|unit、canvas、pages、safeAreas、readingDirection 和 defaultView 可校验；gutter 与页面 bounds 不冲突；非法尺寸被拒绝。|M1-01|contracts/diagram.schema.json; examples/flovvas-massing.diagram.json|contract
M1-04|3|[M1-04 布局分层] 定义 Generated、Override 与 Effective Layout 的合并规则|建立自动布局和人工构图之间的字段级统一抽象。|Schema 已分开 generated 和 overrides，但没有运行时优先级、清除和局部合并规则。|系统按字段生成 Effective Layout；用户覆盖的字段保持不变，未覆盖字段继续接受自动布局更新。|覆盖 x 不冻结 y/scale；可清除单字段、对象或全图 override；合并结果可由表驱动测试复现。|M1-02,M1-03|contracts/diagram.schema.json; AI Native 3D Diagram Workspace 产品核心设计文档.md|contract
M1-05|3|[M1-05 表现边界] 定义 Annotation、Presentation 与 Asset Reference 的归属|明确文字、视觉 token 和外部资产引用哪些属于正式资产，哪些只是渲染缓存。|三类数据已出现在 fixture 和 Schema 中，但没有独立的归属与引用边界说明。|Annotation、Presentation、Asset metadata 可往返保存；GPU、mesh runtime 和缓存不进入 Artifact。|node/edge/group/canvas anchor 可解析；theme 与 role override 不包含运行时对象；asset 引用能记录来源和 license。|M1-01,M1-02|contracts/diagram.schema.json; contracts/renderer-contract.md|contract
M1-06|3|[M1-06 校验错误] 定义字段路径、对象 ID 与恢复建议的错误结构|让用户和 Agent 能从一次校验失败中知道哪里错了、影响谁、下一步怎么处理。|Schema 工具可报告错误，但产品层错误协议还未统一。|所有 Core 和工具错误都能返回 code、message、objectIds、字段路径、recoverable 和建议动作。|同一类错误结构一致；至少覆盖重复 ID、悬空引用、版本不兼容和缺失资产；错误不泄露无关本地路径。|M1-01,M1-02|contracts/diagram.schema.json; contracts/renderer-contract.md|contract
M1-07|3|[M1-07 文件持久化] 定义创建、加载、原子保存和往返一致性|建立 Diagram 文件从内存到磁盘的可恢复生命周期。|当前只有可读取的 JSON fixture，没有 Core 文件生命周期和失败恢复行为。|用户可以创建、加载、保存、另存和重新打开 Diagram；保存失败时上一份合法文件仍可用。|中断写入不破坏原文件；成功保存 revision/updatedAt 可追踪；Golden fixture load-save-reload 语义和布局一致。|M1-01,M1-04,M1-06|AI Native 3D Diagram Workspace MVP 实施计划文档.md; examples/flovvas-massing.diagram.json|behavior
M2-01|4|[M2-01 模板身份] 定义 Component Template 的语义身份与检索字段|建立一个组件“是什么、适合表达什么、如何被找到”的统一身份抽象。|已有 Template Schema 示例，但没有可查询目录，也没有要求语义描述与搜索词一致。|每个模板拥有稳定 ID、名称、语义描述、适用节点类型和搜索词，Codex 与 Workspace 使用同一身份。|七个 Golden Template 可被节点类型和语义词命中；查询结果说明匹配原因；ID 与节点 componentRef 可解析。|M1-01|contracts/component-template.schema.json; examples/flovvas-workbench.component.json|contract
M2-02|4|[M2-02 参数契约] 定义模板参数、默认值与参数校验|让同一模板可以通过可检查参数表达不同的空间状态。|示例 Manifest 有 parametersSchema 和 defaults，但没有参数值校验与默认值一致性测试。|组件实例只接收通过参数 Schema 的值；缺省值可生成稳定形态；非法参数会被定位拒绝。|默认值满足参数 Schema；参数范围错误可定位到参数名；同一输入参数生成稳定的组件描述。|M2-01|contracts/component-template.schema.json; examples/flovvas-workbench.component.json|contract
M2-03|4|[M2-03 渲染映射] 定义模板能力、Renderer Mapping 与 fallback|让语义模板可以被不同 Renderer 消费，并在能力不足时有明确降级。|Schema 已有 mappings 和 fallback 字段，但没有能力检查和降级规则的运行定义。|模板声明所需能力、各 Adapter 的实现映射和 fallback；加载前能知道是否可呈现。|缺失 mapping 或 capability 时返回结构化结果；fallback 保留语义和 label；不同 Renderer 不要求修改 node type。|M2-02,M1-06|contracts/component-template.schema.json; contracts/renderer-contract.md|contract
M2-04|4|[M2-04 资产引用] 定义内置原语、用户模型与授权元数据的引用|建立模型来源、稳定引用和授权信息的统一资产边界。|fixture 只引用内置 URI，GLB/GLTF 导入和授权元数据尚未有运行抽象。|内置 primitive、可再分发模型和用户导入模型都通过稳定 asset reference 使用；缺失文件不使语义对象消失。|asset kind/uri/license 可校验；用户私有绝对路径不写入可分享 Artifact；缺失资产能落到声明的 fallback。|M1-05,M2-03|contracts/diagram.schema.json; AI Native 3D Diagram Workspace MVP 需求池.md|contract
M2-05|4|[M2-05 状态模板] 固定 Flovvas 七个阶段的参数化模板集合|把 LINE、BRANCH、CARD、FIELD、ARCHIVE、CONTEXT、WORKBENCH 固定为一组可验收的模板实例。|当前只有 Workbench 示例和 Golden fixture 的 componentRef，七个模板的参数与预期差异未统一登记。|七个阶段共享 card-slab 家族关系，同时各自有可辨认的参数化结构和语义说明。|七个模板 ID、参数、默认值和 fallback 齐全；相邻阶段轮廓或组织方式可区分；全部能被 M0 覆盖清单引用。|M0-02,M2-01,M2-02|flovvas-massing-flowchart-case.md; examples/flovvas-massing.diagram.json|design
M3-01|5|[M3-01 坐标空间] 定义 Diagram 坐标、页面坐标与视图坐标的边界|避免布局、Renderer、拖动和导出各自解释 x/y/elevation。|fixture 使用 mm 记录构图，但渲染和交互坐标尚未有统一转换边界。|布局结果、视图变换和屏幕交互之间有明确坐标层，转换不会改变正式资产单位。|每个坐标层的输入输出和单位可说明；同一节点往返转换无明显漂移；非法坐标范围可定位。|M1-03|contracts/renderer-contract.md; contracts/diagram.schema.json|contract
M3-02|5|[M3-02 构图约束] 定义 Spread、gutter、phase zone 与主次路径约束|把作品集构图中的留白、阅读方向和关系层级变成布局可消费的约束。|Golden fixture 有 bounds 和 visualRole，但布局规则仍散落在案例文档中。|布局系统能区分主路径、替代路径、外部输入和 loop，并保护 gutter 与关键内容。|约束结构可校验；主节点不得进入 critical gutter；phase zone 与主次路线都有可检查的规则；冲突可报告。|M0-02,M3-01|flovvas-massing-flowchart-case.md; examples/flovvas-massing.diagram.json|design
M3-03|5|[M3-03 生成位置] 定义从语义图到稳定 Generated Layout 的输出|建立语义关系到初始构图之间的统一输出边界。|已有手工布局，没有布局引擎输出协议和稳定 seed 约束。|给定同一 semantic graph、约束和 seed，可以得到节点、group 和 route 的 Generated Layout。|输出覆盖所有可见节点；主路径方向可解释；相同输入稳定；节点与关键区域冲突会产生结果或警告。|M1-02,M3-01,M3-02|AI Native 3D Diagram Workspace MVP 实施计划文档.md; contracts/diagram.schema.json|behavior
M3-04|5|[M3-04 路线锚点] 定义 Route Control Point 与 Annotation Anchor 的坐标模型|让路线和文字在页面、视图变化和节点移动后仍能找到自己的目标。|fixture 有 route points 和 annotation anchors，但没有统一的 anchor 语义和跟随规则。|Route point 使用 Diagram 坐标；Annotation 能关联 node、edge、group 或 canvas，并保存 offset。|所有 anchor target 可解析；节点移动后关联标注不变成悬空；导出和视图变化不依赖屏幕像素。|M1-03,M3-03|contracts/diagram.schema.json; contracts/renderer-contract.md|contract
M3-05|5|[M3-05 局部重排] 定义新增或重排时保留 Override 的局部行为|让自动布局可以继续工作，同时不抹掉用户已经做出的局部构图决定。|Schema 分开了 generated 和 overrides，但没有新增节点或局部重排的行为测试。|当语义新增、删除或改变时，只重新计算允许更新的字段和对象；已有 Override 按字段保留。|新增节点不会移动未涉及节点的手工位置；清除 Override 后对象可重新进入生成布局；重排结果和保留字段可检查。|M1-04,M3-03|AI Native 3D Diagram Workspace 产品核心设计文档.md; contracts/diagram.schema.json|behavior
M4-01|6|[M4-01 渲染输入] 定义 RenderDocument 的解析结果|建立 Core 到任何 Renderer Adapter 之间的唯一只读输入。|Renderer Contract 已描述 RenderDocument，但没有可验证的解析和 revision 边界。|Adapter 接收到语义、Composition、Effective Layout、解析后的模板、资产、标注和 presentation。|RenderDocument 不包含未解析的 override 优先级；包含 artifactId/revision；同一 Artifact 解析结果稳定。|M1-04,M2-03,M3-03|contracts/renderer-contract.md; contracts/diagram.schema.json|contract
